product_id,name,category,current_price,original_price,currency,source,url,stock_status,timestamp
S001,HP 15s Intel Core i5 8Go RAM 512Go SSD,Informatique,5499,6299,DH,Jumia,https://www.jumia.ma/catalog/?q=HP+15s+i5,En Stock,2026-09-20T09:00:00
S002,HP 15s Intel Core i5 8Go RAM 512Go SSD,Informatique,5690,5690,DH,MarjaneMall,https://www.marjanemall.ma/catalogsearch/result/?q=HP+15s+i5,En Stock,2026-09-20T09:05:00
S003,Lenovo IdeaPad 3 Ryzen 5 8Go 512Go SSD,Informatique,4999,5799,DH,Jumia,https://www.jumia.ma/catalog/?q=Lenovo+IdeaPad+3,En Stock,2026-09-20T09:00:00
S004,Lenovo IdeaPad 3 Ryzen 5 8Go 512Go SSD,Informatique,4890,5499,DH,MarjaneMall,https://www.marjanemall.ma/catalogsearch/result/?q=Lenovo+IdeaPad+3,En Stock,2026-09-20T09:05:00
S005,Asus Vivobook 15 Core i3 8Go 256Go SSD,Informatique,3999,4499,DH,Jumia,https://www.jumia.ma/catalog/?q=Asus+Vivobook+15,En Stock,2026-09-20T09:00:00
S006,Dell Inspiron 15 3520 Core i7 16Go 512Go SSD,Informatique,8299,8999,DH,Jumia,https://www.jumia.ma/catalog/?q=Dell+Inspiron+15+3520,En Stock,2026-09-20T09:00:00
S007,Dell Inspiron 15 3520 Core i7 16Go 512Go SSD,Informatique,8150,8150,DH,MarjaneMall,https://www.marjanemall.ma/catalogsearch/result/?q=Dell+Inspiron+15+3520,En Stock,2026-09-20T09:05:00
S008,Apple MacBook Air M2 13 pouces 8Go 256Go,Informatique,12990,13990,DH,Jumia,https://www.jumia.ma/catalog/?q=MacBook+Air+M2,En Stock,2026-09-20T09:00:00
S009,Apple MacBook Air M2 13 pouces 8Go 256Go,Informatique,13490,13490,DH,MarjaneMall,https://www.marjanemall.ma/catalogsearch/result/?q=MacBook+Air+M2,En Stock,2026-09-20T09:05:00
S010,Acer Aspire 3 Celeron 4Go 256Go SSD,Informatique,2799,3199,DH,Jumia,https://www.jumia.ma/catalog/?q=Acer+Aspire+3,En Stock,2026-09-20T09:00:00
S011,Samsung Galaxy A15 128Go 4Go RAM,Smartphones,1599,1899,DH,Jumia,https://www.jumia.ma/catalog/?q=Galaxy+A15,En Stock,2026-09-20T09:00:00
